Outcome,Week End,Age Group,Unvaccinated Rate,Vaccinated Rate,Boosted Rate,Crude Vaccinated Ratio,Crude Boosted Ratio,Age-Adjusted Unvaccinated Rate,Age-Adjusted Vaccinated Rate,Age-Adjusted Boosted Rate,Age-Adjusted Vaccinated Ratio,Age-Adjusted Boosted Ratio,Population Unvaccinated,Population Vaccinated,Population Boosted,Outcome Unvaccinated,Outcome Vaccinated,Outcome Boosted,Age Group Min,Age Group Max
Deaths,07/09/2022,0-4,0.0,,,,,,,,,,162642,,,0,,,0,4
Cases,02/26/2022,0-4,54.1,,,,,,,,,,162642,,,88,,,0,4
Hospitalizations,12/11/2021,0-4,3.1,,,,,,,,,,162642,,,5,,,0,4
Cases,11/20/2021,0-4,104.5,,,,,,,,,,162642,,,170,,,0,4
Cases,10/23/2021,5-11,111.7,,,,,,,,,,210448,,,235,,,5,11
Deaths,07/23/2022,0-4,0.0,0.0,,,,,,,,,162642,,,0,0,,0,4
Deaths,07/16/2022,0-4,0.0,,,,,,,,,,162642,,,0,,,0,4
Cases,04/03/2021,0-4,73.8,,,,,,,,,,162642,,,120,,,0,4
Deaths,07/02/2022,0-4,0.0,,,,,,,,,,162642,,,0,,,0,4
Cases,05/01/2021,5-11,113.1,,,,,,,,,,210448,,,238,,,5,11
Hospitalizations,07/23/2022,0-4,6.8,0.0,,,,,,,,,162642,,,11,0,,0,4
Cases,09/04/2021,5-11,154.4,,,,,,,,,,210448,,,325,,,5,11
Cases,04/23/2022,0-4,127.9,,,,,,,,,,162642,,,208,,,0,4
Cases,10/16/2021,5-11,109.3,,,,,,,,,,210448,,,230,,,5,11
Deaths,10/22/2022,0-4,0.0,0.0,,,,,,,,,162642,,,0,0,,0,4
Deaths,09/18/2021,All,3.2,0.3,,10.7,,4.6,0.2,,23.2,,1025055,1494650,,33,4,,999,999
Hospitalizations,10/08/2022,0-4,0.6,0.0,,,,,,,,,162642,,,1,0,,0,4
Hospitalizations,05/08/2021,12-17,1.2,,,,,,,,,,165353,,,2,,,12,17
Cases,10/29/2022,0-4,67.6,1.8,,37.6,,,,,,,162642,,,110,3,,0,4
